id,completion time,sex,age,sd02_decentering99_down,sd02_decentering99_up,sd02_decentering0,sd04_decentering99_down,sd04_decentering99_up,sd04_decentering0,sd06_decentering99_down,sd06_decentering99_up,sd06_decentering0
1,74,1,25,86,91,92,78,59,41,71,80,18
2,142,1,26,67,64,83,45,43,82,43,34,61
3,112,1,24,70,75,80,30,65,55,20,30,40
4,139,1,24,81,80,95,51,40,61,40,40,40
5,90,1,24,90,82,92,71,76,79,61,70,63
6,160,2,24,85,80,85,77,67,70,51,53,60
7,154,1,25,87,74,82,72,68,71,80,58,68
8,159,1,26,70,76,81,27,42,31,0,23,62
9,155,1,27,50,40,50,13,11,69,2,6,30
10,167,2,24,61,56,60,8,20,20,0,20,19
11,149,1,25,93,92,97,82,81,87,78,71,81
12,171,1,25,70,40,80,50,30,70,20,20,40
13,153,1,24,95,95,90,80,90,75,85,75,70
14,179,1,23,60,84,94,33,11,11,8,14,30
15,180,1,25,85,79,94,80,85,90,70,69,75
16,187,1,24,30,41,90,8,22,100,1,21,82
17,47,2,23,85,75,94,58,60,91,56,59,91
18,172,1,24,40,49,59,19,27,40,31,20,20
19,197,1,25,60,55,65,50,55,40,45,40,45
20,175,1,24,0,10,55,21,26,40,8,36,41
21,207,1,23,20,80,40,15,22,0,0,10,15
22,212,1,24,80,64,82,74,72,50,37,42,49
23,199,1,24,65,70,80,30,40,50,25,15,30
24,229,2,24,58,95,94,40,54,68,42,41,64
25,207,1,25,70,75,70,45,60,35,40,35,20
26,219,1,23,60,70,60,40,51,59,36,64,32
27,226,1,24,80,50,90,40,40,70,15,24,21
28,238,1,26,80,85,90,58,62,80,60,55,60
29,244,1,24,80,92,100,70,69,90,50,49,100
30,188,1,24,54,49,40,35,35,20,20,25,19
31,244,1,24,80,88,100,31,44,95,50,39,91
32,256,1,24,53,40,35,30,30,23,8,11,15
33,277,1,26,73,60,83,45,40,63,25,30,68
34,148,1,24,43,85,65,75,46,62,20,10,61
35,193,1,24,24,40,80,77,39,59,78,78,52
36,277,1,25,72,61,76,34,47,56,34,20,33
37,299,1,28,85,73,77,61,73,65,52,65,38
38,25,1,25,40,40,42,41,40,41,39,41,41
