"","id","sex","age","sd02_decentering0","sd04_decentering0","sd06_decentering0","sd02_decentering99","sd04_decentering99","sd06_decentering99"
"1",1,1,25,92,41,18,88.5,68.5,75.5
"2",2,1,26,83,82,61,65.5,44,38.5
"3",3,1,24,80,55,40,72.5,47.5,25
"4",4,1,24,95,61,40,80.5,45.5,40
"5",5,1,24,92,79,63,86,73.5,65.5
"6",6,2,24,85,70,60,82.5,72,52
"7",7,1,25,82,71,68,80.5,70,69
"8",8,1,26,81,31,62,73,34.5,11.5
"9",9,1,27,50,69,30,45,12,4
"10",10,2,24,60,20,19,58.5,14,10
"11",11,1,25,97,87,81,92.5,81.5,74.5
"12",12,1,25,80,70,40,55,40,20
"13",13,1,24,90,75,70,95,85,80
"14",14,1,23,94,11,30,72,22,11
"15",15,1,25,94,90,75,82,82.5,69.5
"16",16,1,24,90,100,82,35.5,15,11
"17",17,2,23,94,91,91,80,59,57.5
"18",18,1,24,59,40,20,44.5,23,25.5
"19",19,1,25,65,40,45,57.5,52.5,42.5
"20",20,1,24,55,40,41,5,23.5,22
"21",21,1,23,40,0,15,50,18.5,5
"22",22,1,24,82,50,49,72,73,39.5
"23",23,1,24,80,50,30,67.5,35,20
"24",24,2,24,94,68,64,76.5,47,41.5
"25",25,1,25,70,35,20,72.5,52.5,37.5
"26",26,1,23,60,59,32,65,45.5,50
"27",27,1,24,90,70,21,65,40,19.5
"28",28,1,26,90,80,60,82.5,60,57.5
"29",29,1,24,100,90,100,86,69.5,49.5
"30",30,1,24,40,20,19,51.5,35,22.5
"31",31,1,24,100,95,91,84,37.5,44.5
"32",32,1,24,35,23,15,46.5,30,9.5
"33",33,1,26,83,63,68,66.5,42.5,27.5
"34",34,1,24,65,62,61,64,60.5,15
"35",35,1,24,80,59,52,32,58,78
"36",36,1,25,76,56,33,66.5,40.5,27
"37",37,1,28,77,65,38,79,67,58.5
